,idno,language,author-continent,author-country,author-name,title,year,subgenre_hist,subgenre_x,decade
ne0006,ne0006,Spanish,Europe,Spain,Galdos,Angel,1891,not_historical,Bildungsroman,1890
ne0008,ne0008,Spanish,Europe,Spain,Zamacois,Enferma,1896,not_historical,erotic,1890
ne0014,ne0014,Spanish,Europe,Spain,Valle,SonataEstio,1903,not_historical,erotic,1900
ne0018,ne0018,Spanish,Europe,Spain,Valle,SonataInvierno,1905,not_historical,erotic,1900
ne0020,ne0020,Spanish,Europe,Spain,Valle,CruzadosCausa,1908,historical,historical,1900
ne0021,ne0021,Spanish,Europe,Spain,Valle,ResplandorHoguera,1909,historical,historical,1900
ne0022,ne0022,Spanish,Europe,Spain,Valle,GerifaltesAntano,1909,historical,historical,1900
ne0030,ne0030,Spanish,Europe,Spain,Valle,TiranoBanderas,1926,historical,historical,1920
ne0033,ne0033,Spanish,Europe,Spain,Valle,Corte,1927,historical,historical,1920
ne0035,ne0035,Spanish,Europe,Spain,Valle,Viva,1928,historical,historical,1920
ne0037,ne0037,Spanish,Europe,Spain,Valle,MediaNoche,1917,historical,historical,1910
ne0044,ne0044,Spanish,Europe,Spain,Miro,Amigo,1908,not_historical,Bildungsroman,1900
ne0045,ne0045,Spanish,Europe,Spain,Miro,PalmaRota,1909,not_historical,erotic,1900
ne0054,ne0054,Spanish,Europe,Spain,Miro,Pasion1,1916,historical,historical,1910
ne0055,ne0055,Spanish,Europe,Spain,Miro,Pasion2,1917,historical,historical,1910
ne0061,ne0061,Spanish,Europe,Spain,Miro,ObispoLeproso,1926,not_historical,Bildungsroman,1920
ne0063,ne0063,Spanish,Europe,Spain,Baroja,Busca,1904,not_historical,Bildungsroman,1900
ne0068,ne0068,Spanish,Europe,Spain,Baroja,ArbolCiencia,1911,not_historical,Bildungsroman,1910
ne0069,ne0069,Spanish,Europe,Spain,Unamuno,Abel,1917,not_historical,philosophical,1910
ne0070,ne0070,Spanish,Europe,Spain,Unamuno,Pedagogia,1902,not_historical,philosophical,1900
