"ne0020" "ne0021" "ne0022" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037" "ne0039" "ne0054" "ne0055" "ne0066" "ne0107" "ne0112" "ne0113" "ne0114" "ne0115" "ne0117" "ne0118" "ne0124" "ne0125" "ne0126" "ne0130" "ne0143" "ne0144" "ne0165" "ne0166" "ne0182" "ne0215" "ne0219" "ne0232" "ne0233" "ne0237" "ne0239" "ne0240" "ne0243" "ne0244" "ne0245" "ne0246" "ne0247" "ne0248" "ne0254" "ne0264" "ne0265" "ne0266" "ne0267" "ne0269" "ne0270" "ne0277" "ne0278" "ne0279" "ne0280" "ne0281" "ne0282" "ne0283" "ne0284" "ne0285" "ne0286" "ne0292" "ne0293" "ne0299" "ne0302" "ne0304"
"ne0020" 0 0.690382476492717 0.747714801858071 0.888689832612023 0.830024715890814 0.867275520980751 0.923567492167208 0.895058667226686 1.05350027884186 0.881915756248466 0.859139487489852 0.989647945991459 0.986363518124987 1.0370918948784 1.00733409188368 0.976917231734784 1.10139129015802 1.09495897401904 1.07104880376645 1.00680133392026 1.04906469774071 1.03803707039946 1.13040176512101 1.06292045886005 1.09265995499079 1.08731293578564 1.09649266955989 1.04421345195091 0.982446696864587 1.02775227159582 1.0083881955079 1.08204270888135 1.06642087839546 1.03780145684008 1.05040577908194 1.06994151897438 1.05926584307955 1.04863726246393 1.06543920007816 1.11915286245962 1.07755150453755 0.99301535707984 1.06168612184 1.07166276216733 1.09477829742634 1.07392055469541 1.0807113177539 1.09736557273686 1.06284890096281 1.06248081092624 1.04569717338624 1.05974960204682 1.04868420742573 1.04571040455592 1.04779889717824 1.08006760287822 1.07853992932963 1.08886240650016 1.02935609110953 0.988043934546456 1.03726665276075 1.07262722941675 1.05008978552112
"ne0021" 0.690382476492717 0 0.627525716806258 0.895820158568056 0.843287541227338 0.893182652218023 0.930268691761319 0.853259509008671 1.04821272507884 0.872049970952479 0.862342497485581 0.937140337633282 1.02648523509779 1.02028348064737 1.03841167944135 0.954551627022841 1.07734313239563 1.08499068432713 1.01942549378451 0.952797097579978 1.01334503945941 1.03033914218822 1.17442655147815 1.05593625936148 1.11197660018524 1.09344679048113 1.14700979753432 1.003933461079 0.993480387914254 1.00389478100135 1.00327892185622 1.06581018713117 1.05647318285176 1.02780268103697 1.04193501156857 1.02930561918144 1.05750966358094 1.01614431634608 1.07787530315466 1.14993828702263 1.08359517591767 0.981342323165964 1.08733610017422 1.10966300167333 1.11152139272039 1.11648210565817 1.11639836403711 1.1229624959153 1.11889446984748 1.06172050742265 1.11143388138197 1.08940122218918 1.09045878653859 1.10240676945439 1.05184062960859 1.08844143446844 1.09728476232259 1.12097118292662 1.00820002125913 0.96593876703712 1.02242952447437 1.02243288197592 1.06190065397548
"ne0022" 0.747714801858071 0.627525716806258 0 0.879683202112027 0.852871117932022 0.892132242663171 0.906550244394806 0.892304957929988 1.03934600965803 0.905637392433718 0.92044716947501 0.943887796220232 0.996380223262489 1.02652649960848 1.02778965917416 0.944200658414198 1.07066996825343 1.07121611277683 1.01394348620937 0.963046962723126 1.04951819295612 1.00678562148184 1.16038756444999 1.05220488821676 1.08925981660526 1.0876332081931 1.11274433977279 1.03212486314874 1.02817458014294 1.0027936662382 0.989691239502806 1.08098823066863 1.07811980324646 1.0421282506281 1.05285973041078 1.03559899010694 1.0806921277378 1.02983815021576 1.05194359110821 1.1062567106294 1.07459540150327 0.998035433254059 1.07096990951242 1.07229413606129 1.11199488828401 1.09656930957157 1.114676838295 1.10779665888553 1.07685965264086 1.03972619801815 1.06494895911483 1.08065050546013 1.07189309746946 1.07513330808827 1.05644239485525 1.08158787557083 1.06073578527262 1.10354855508632 1.01366068957572 0.988710190647439 1.04720103954091 1.0422535367368 1.07969339953193
"ne0030" 0.888689832612023 0.895820158568056 0.879683202112027 0 0.67739028770258 0.642626432404976 0.706779133790074 0.922640520664161 1.05450549877677 0.95351825079464 0.925207884291735 1.08791156771492 0.968441158177328 1.08738992334633 0.984425419141533 1.02391648388272 1.09450889092128 1.11729025307702 1.08623787365684 0.979799192974136 1.05655765812371 0.999838897483633 1.04591351382908 1.04136123764019 1.01091056855809 1.07295199227485 1.09702164768519 1.02519537240785 0.996782750863271 1.03439625240434 0.976790941594346 1.09813205274578 1.09920094952145 1.06812818561454 1.08362273702858 1.11395334486299 1.08499551594069 1.11294885464556 1.05803316171737 1.07409022637884 1.05610817908666 1.06762652391086 1.08647844765957 1.05636916114066 1.09293123905486 1.10391932980849 1.11600558373105 1.12495199308283 0.956169345640071 1.03393357670968 0.96616833632902 0.99666774661458 0.975958239596598 0.986129424842601 0.988015146706564 0.991625889548272 0.987516209911088 0.984106799698308 1.0418635350814 1.08565323088773 1.08781224076627 1.10000196027273 1.12328931716579
"ne0033" 0.830024715890814 0.843287541227338 0.852871117932022 0.67739028770258 0 0.487170479483392 0.672193361333718 0.961257407716669 1.02406920250829 0.943801715293398 0.934207672041914 1.05486925195737 0.955063363626133 1.06904938032612 1.00312067349904 1.0429892626704 1.13537312313084 1.12599705537275 1.09230270252174 0.996036878638422 1.06807646300105 0.993789384881334 1.13295639359509 1.04706624096472 0.991585394124588 1.15097855444724 1.12778956949229 1.03976188701336 1.00781587311557 1.06474044538399 0.916477547478153 1.12349175047645 1.11105042747583 1.06878775681061 1.08069864285945 1.12429492955841 1.09411242596696 1.0920640656645 1.07157055319357 1.04160593911924 1.03633185999712 1.10017998411923 1.12791189268611 1.08582547825672 1.12257708544993 1.12236372981894 1.14355484170608 1.16094957782704 0.934537486722841 0.998349124252444 0.919672109519431 0.930907217846001 0.90022893641397 0.963023972177247 1.00910568527214 0.961603103184956 1.01110826495211 0.955893482988107 1.07427151881108 1.07319913152208 1.0779444383759 1.08624575806718 1.14324116278018
"ne0035" 0.867275520980751 0.893182652218023 0.892132242663171 0.642626432404976 0.487170479483392 0 0.598183095629979 0.973316076187511 1.07245896877746 0.969059044505151 0.973651117362288 1.07998333750074 0.9450724760213 1.0665200958912 1.00549764027687 1.02228758888476 1.07184295066118 1.1111223657999 1.06814095786863 1.01879312227363 1.0738056510731 0.994399108074631 1.07541696309867 1.03461083067583 0.9879529222109 1.15147452594347 1.15107355177073 1.05421084438197 1.02533151544931 1.05762844452197 0.939926893346632 1.12355052118979 1.12817097277552 1.05246563464319 1.07418364417109 1.13094643227177 1.08106795758491 1.1060811282706 1.03841545166086 1.01180526220589 1.0429049368532 1.11423419357498 1.1442563140176 1.0863731607534 1.11242620276326 1.11510254196731 1.12600537062161 1.16882802365774 0.91228315515349 0.980441276645484 0.910373333126632 0.908873036708512 0.899543611933798 0.963169366730151 1.0063889419078 0.935319514072771 0.985100805878597 0.93246220314256 1.07349722765615 1.09966428713761 1.10461120459278 1.08100716216224 1.15018455464679
"ne0036" 0.923567492167208 0.930268691761319 0.906550244394806 0.706779133790074 0.672193361333718 0.598183095629979 0 0.97847088115569 1.03407953735473 0.994550361494395 0.978580200041129 1.07737544799178 0.91987854100025 1.07689400348437 0.994624273503643 1.04919588983196 1.07551226136182 1.10428929991175 1.05409072669129 1.02400070945377 1.06826959970945 0.960620119493952 1.08380803015293 1.04052571600798 1.01088980413791 1.10704731500618 1.10688775638206 1.00801396412816 1.01139396590219 1.02600182063595 0.968042261846461 1.09885724823025 1.10420040565241 1.05641990963571 1.0584611308839 1.11373094547735 1.07737281737978 1.11519507562027 1.04620689626423 1.01669323297992 1.02256116962063 1.09192333276997 1.08853572692007 1.06166761935255 1.08097804715959 1.10874799749464 1.11973654548777 1.13040655662353 0.928463932217776 1.00795314971966 0.926059484876143 0.988188767622779 0.955501594039945 0.975751325415476 1.020044259389 0.984510690545775 1.01958642886827 0.979700262089462 1.0173812096885 1.08308638426621 1.0898400433032 1.09037085777282 1.10757983988104
"ne0037" 0.895058667226686 0.853259509008671 0.892304957929988 0.922640520664161 0.961257407716669 0.973316076187511 0.97847088115569 0 0.999628014476574 0.857183024421524 0.901819559641769 1.05404080725499 1.06237381583476 1.10023253378387 1.03253666470302 0.961938962621606 1.11150975866878 1.09621223604476 1.04870291006766 0.757341899677179 0.965694605549951 0.975013598183607 1.06105121019683 1.0748747000473 1.10712173307425 1.00341200215547 1.10856941445777 0.975184402472139 0.974684409152172 0.91437592595077 0.955583827042454 1.04088419171433 1.0480187658258 1.10648335345225 1.06239056176615 1.01832939423771 1.07825454431177 1.05984667973408 1.10632052463867 1.12516201771794 1.09062549474804 0.928492909209917 1.03803629589233 1.07401097965272 1.07256456037781 1.07894263891938 1.08926126922597 1.06792071382035 1.13637223673512 1.09179412063936 1.09041103926811 1.09013206325101 1.10430281766192 1.12352135060795 1.03695089111515 1.10345079929933 1.08449463258126 1.09589225693503 1.03949219320309 1.08988991902203 0.99936498333251 1.07509323911614 1.03483053191929
"ne0039" 1.05350027884186 1.04821272507884 1.03934600965803 1.05450549877677 1.02406920250829 1.07245896877746 1.03407953735473 0.999628014476574 0 1.0056576436324 1.00194385452102 1.09040076519379 0.904559259972487 1.07692257946366 0.956816823014463 1.03328283845301 1.1310435183989 1.05215271876851 1.06270153947977 0.92941810575291 1.00584542691638 0.952494035784504 1.00296557241274 0.845813185277501 0.935187005900313 0.974088444532078 0.97479392583038 0.978480511547915 0.994573228437509 0.986518452601246 0.994134843855402 1.05757928106874 1.05795258970536 1.0280108554662 1.0486864437955 1.07919534127816 1.04342754423617 1.06537802972968 1.08522571570604 1.08102268686704 1.03451944135579 1.04127420573023 0.99365099675794 0.966423742965558 0.985261912751142 1.01110609261735 1.05202151651533 1.05374379551322 1.00947892336008 1.02657330148393 0.955594130264914 1.05267621475015 0.980928031306892 1.01160997807457 1.02870975901478 1.00224052653334 0.992549642527184 0.992866646438899 1.02167620491844 1.03234655291209 0.961412657001468 0.996392983311725 1.03099610750503
"ne0054" 0.881915756248466 0.872049970952479 0.905637392433718 0.95351825079464 0.943801715293398 0.969059044505151 0.994550361494395 0.857183024421524 1.0056576436324 0 0.343693275536448 1.05833332169665 1.00801206894689 1.12055372681212 1.0557247098941 0.952602087544773 1.13074905533754 1.14429383309638 1.13061452384968 0.95509707922453 1.0136570943712 1.05392754851484 1.06490663473684 1.09663026052474 1.08044352939159 1.07148578469128 1.1129769721675 1.02042101197948 0.829172509399152 0.966023526020042 0.98423288001325 1.09327154149612 1.08035899871197 1.11102270319496 1.09549842508488 1.09943448197678 1.09227598367353 1.10476001689779 1.10793285729395 1.14898354866456 1.13997439228942 0.810406195731064 1.01041136370279 1.08111902957505 1.06061692691098 1.00890270742091 1.01609498852697 1.03043481100526 1.13781329077173 1.08345391861627 1.09073040221606 1.06273174109284 1.06187836378565 1.08128726789505 1.01154651435645 1.06149610808481 1.02709319288114 1.07351784363663 1.05408685590406 1.01515703624483 0.982015369677871 1.09848122965661 1.08004214183377
