 Baroja_adventure_ne0066 Baroja_adventure_ne0112 Baroja_adventure_ne0118 Baroja_adventure_ne0233 Baroja_adventure_ne0237 Baroja_adventure_ne0243 Baroja_adventure_ne0244 Baroja_adventure_ne0245 Baroja_adventure_ne0304 Baroja_historical_ne0115 Baroja_historical_ne0117 Baroja_historical_ne0232 Baroja_historical_ne0239 Baroja_historical_ne0240 Baroja_historical_ne0246 Baroja_historical_ne0247 Baroja_historical_ne0248 Baroja_historical_ne0302 Bazan_historical_ne0107 BlascoIbanez_adventure_ne0166 BlascoIbanez_adventure_ne0266 BlascoIbanez_historical_ne0165 BlascoIbanez_historical_ne0254 BlascoIbanez_historical_ne0264 BlascoIbanez_historical_ne0265 BlascoIbanez_historical_ne0267 BlascoIbanez_historical_ne0269 BlascoIbanez_historical_ne0270 Carrere_adventure_ne0113 Dario_historical_ne0215 Galdos_adventure_ne0284 Galdos_adventure_ne0285 Galdos_adventure_ne0286 Galdos_historical_ne0277 Galdos_historical_ne0278 Galdos_historical_ne0279 Galdos_historical_ne0280 Galdos_historical_ne0281 Galdos_historical_ne0282 Galdos_historical_ne0283 Ganivet_historical_ne0130 Herrera_historical_ne0219 Miro_historical_ne0054 Miro_historical_ne0055 Pereda_historical_ne0144 Pereda_historical_ne0299 RBaroja_adventure_ne0182 Sender_historical_ne0124 Sender_historical_ne0125 Sender_historical_ne0126 Sender_historical_ne0292 Sender_historical_ne0293 Unamuno_historical_ne0114 Valle_historical_ne0020 Valle_historical_ne0021 Valle_historical_ne0022 Valle_historical_ne0030 Valle_historical_ne0033 Valle_historical_ne0035 Valle_historical_ne0036 Valle_historical_ne0037 WFFlorez_adventure_ne0143 Zamacois_adventure_ne0039
Baroja_adventure_ne0066 0.0 1.015371337399612 1.0781598764780052 1.1505149441350682 1.153499504983837 1.099701318063124 1.0909459659094134 0.9953755694594142 1.1066918586816212 1.1096076317014392 1.1053320481493154 1.1655017433602501 1.0414936338784233 1.0641494343679772 1.1352619221062032 1.2170342915650534 1.125255613577132 1.0316351746086911 1.09106937979416 1.0959871647878598 1.11351573154491 1.10043695973704 1.05313429598474 1.09978907465611 1.1178326352840802 1.11473458563251 1.11255473126216 1.09566324472784 1.02615359689419 1.05354425874094 1.12431539930427 1.11812626333808 1.13929075031636 1.08728490763432 1.05929306440224 1.15426878103043 1.10144443426395 1.1414368708233 1.09505478871473 1.10202194443287 1.13965847790868 1.0240396788588901 1.0583333216966502 1.05788012278004 1.1266468299068602 1.05831646682467 1.00781178576857 1.0152256655449599 1.00203730294402 1.00995138128659 1.00110826442776 0.9559547540509509 1.0195018078608 0.989647945991459 0.937140337633282 0.9438877962202321 1.08791156771492 1.0548692519573701 1.07998333750074 1.07737544799178 1.05404080725499 1.02261120679245 1.0904007651937901
Baroja_adventure_ne0112 1.015371337399612 0.0 1.0358583045836272 1.163259433655897 1.1120471442949023 1.029231423647134 1.040270944245484 1.003202453642888 1.0989913096539583 1.0049947161572224 0.9737950389181432 1.2069910124630971 1.0177667351343533 1.069031149337821 1.0500397723119703 1.0747518681804573 1.0796499171468703 1.0648230400328753 1.0993900434461101 1.10352873667185 1.12420995488918 1.13389704048719 1.11860553550726 1.15082890128702 1.12714459165014 1.1121197598526398 1.11151613241821 1.10390960194149 1.0191340481215299 1.06087219283033 1.04827970215402 1.0693481204552902 1.0794377237789599 1.05375786818461 1.0584846601162199 1.1181941205791799 1.0865458556406502 1.1215104504531699 1.07956541268113 1.09674815627521 1.0940623256955602 1.0351346774757 1.1205537268121202 1.11598525313636 1.0648174921793 1.08306124265526 1.01871887368996 1.09561114071363 1.0197323056452001 1.02943167848576 1.00105928135725 0.988948497289493 1.05671401084199 1.0370918948784 1.02028348064737 1.02652649960848 1.08738992334633 1.06904938032612 1.0665200958912 1.07689400348437 1.10023253378387 1.03771695181624 1.0769225794636599
Baroja_adventure_ne0118 1.0781598764780052 1.0358583045836272 0.0 1.1808708710347462 1.152418502059449 1.0395679140353602 1.0713239983273652 1.0448876905743434 1.1532353803359041 0.9526258619880453 1.016714097768474 1.1656001619431033 1.133531537250719 1.148203967102634 1.1130225917793983 1.083101706387737 1.1037806855770553 1.1200628312040344 1.0723502997952699 1.0916379200918 1.09437116943508 1.1091486450183101 1.12829026336027 1.1570361350796998 1.1209901125407 1.08591913960238 1.12360825943896 1.07207235817101 1.05283940980553 1.08482107101656 1.0754988087485502 1.06357392502994 1.06285639998316 1.00543984647838 1.0075909328452999 1.03065411550179 1.0657849079235 1.05004744504 1.07690659676869 1.083667151957 1.07600186558779 1.00620229474611 1.13061452384968 1.11974050260884 1.10866239584274 1.11482552423409 1.01456241556109 1.01805580899067 1.01844593600384 1.00178955399723 1.0264070294426801 1.02216304708351 1.0518857820411 1.07104880376645 1.01942549378451 1.0139434862093701 1.08623787365684 1.09230270252174 1.06814095786863 1.05409072669129 1.0487029100676601 1.02753086822649 1.06270153947977
Baroja_adventure_ne0233 1.1505149441350682 1.163259433655897 1.1808708710347462 0.0 0.7409754056752282 1.056752488944237 1.0793907399478604 1.1270295077225652 0.9249799512000302 1.0964251081046652 1.0800184688800405 1.258979603354086 1.2055492760443762 1.2124962388837321 1.1601557929619832 1.1686685191369182 1.1677826392636883 1.1917981732051393 1.12057264216296 1.08786472393488 1.07994574494569 1.1173253978728002 1.06603534534002 1.03131387087228 1.12579668862305 1.0619700504065401 0.9578634357976259 0.975067690121518 1.06041143005409 1.06525938771565 1.0786466432100899 1.06338550282458 1.10650485131696 1.10774473446363 1.07490958191076 1.15656253786774 1.1013500985103601 1.12958665167011 1.1107247145258998 0.9766704775799351 0.986207510325303 1.02981623364178 1.09327154149612 1.07381556259875 1.07512275170736 1.03128550079949 0.8989790671369841 1.03303245103666 0.9717578161167779 1.08489271229615 1.01432727999704 0.989449130444602 1.06750950684341 1.08204270888135 1.06581018713117 1.08098823066863 1.09813205274578 1.12349175047645 1.12355052118979 1.09885724823025 1.04088419171433 1.00465660549973 1.05757928106874
Baroja_adventure_ne0237 1.153499504983837 1.1120471442949023 1.152418502059449 0.7409754056752282 0.0 1.053050749642796 1.039252824170957 1.1159994966335773 0.8886456751424011 1.0931734948297491 1.0272678588266462 1.2613836775930762 1.1723363768126704 1.1938034180578332 1.103732964918572 1.1143074248645441 1.1459887276099183 1.1803679301009293 1.14906462121376 1.06989879789164 1.1106163562082 1.12833185492042 1.06891870422508 1.0369825543617899 1.13136812793198 1.05793563018919 0.952044772303868 0.980390150802899 1.06474042182069 1.0902378965705302 1.0619297014551299 1.05105420705041 1.10194322195374 1.1332636338901299 1.0908558318453698 1.16907606157101 1.1311777724800902 1.11994803649798 1.1258444134196002 0.998245962839503 1.0227424506013398 1.02077560683033 1.08035899871197 1.08903366791726 1.0627272207803802 1.04848159213057 0.92495498052838 1.0485838803782601 0.9942309010549208 1.09697797827088 1.02728955899358 1.001496986494 1.0780896394782198 1.0664208783954598 1.05647318285176 1.07811980324646 1.0992009495214499 1.11105042747583 1.12817097277552 1.10420040565241 1.0480187658258 1.02364755174883 1.0579525897053599
Baroja_adventure_ne0243 1.099701318063124 1.029231423647134 1.0395679140353602 1.056752488944237 1.053050749642796 0.0 1.0608929387307033 1.0404140518820593 1.0635679481734162 0.9081758998305732 0.9126585791486422 1.2715755889894962 1.1919711651157763 1.1847536451098954 1.1028683235760193 1.124329831132584 1.1505389864717652 1.1553041936303312 1.10421179996545 1.10052006750751 1.08859422787306 1.0637807793373 1.0699313303293498 1.11038490457068 1.11192730734874 1.07156818205018 1.06169837478408 1.02014360192815 1.05395727278022 1.1036445998963798 1.05893355848099 1.05809733157912 1.08550340038474 1.10621708464215 1.07310170426353 1.12293550761696 1.11314821514246 1.10580872509694 1.13669411414151 1.1084371220089 1.01503984649228 0.9972471123147378 1.09943448197678 1.09985032471644 1.073736539082 1.07576798181997 0.9837052460559829 1.03950069669121 0.984268704509085 1.07186988309109 1.00891211238377 0.9684509487355409 1.0438197347362501 1.06994151897438 1.0293056191814398 1.03559899010694 1.11395334486299 1.12429492955841 1.1309464322717702 1.11373094547735 1.0183293942377099 1.02242134883387 1.07919534127816
Baroja_adventure_ne0244 1.0909459659094134 1.040270944245484 1.0713239983273652 1.0793907399478604 1.039252824170957 1.0608929387307033 0.0 1.001358740083599 0.9660627024502513 1.097700204850498 0.9852370914176183 1.2038087448867354 1.0517355829332082 1.1065996356462662 1.072441235759276 1.0653254268069172 1.0736608194193071 1.1045298266803933 1.09539252184176 1.09029940400944 1.1116713052807499 1.1079183135098798 1.07857094244512 1.0719528623196601 1.08761594316929 1.07962953030254 1.09387158188521 1.1144962365873798 1.03416335040623 1.05191415867209 1.0451498683079201 1.04544610644927 1.0550652454101999 1.08673496529281 1.11553115565777 1.11233504776996 1.13076767361544 1.10957340343779 1.0918543913382401 1.12705666703435 1.06748702661866 1.0378608442927602 1.09227598367353 1.09693112060482 1.04980970569975 1.0805630432912 0.9547047836108941 1.06511879706869 1.03735336368456 1.03863248677181 1.04618953456901 1.0212178128331 1.12388043575149 1.05926584307955 1.05750966358094 1.0806921277378 1.0849955159406899 1.09411242596696 1.08106795758491 1.0773728173797799 1.0782545443117701 1.00218527119393 1.04342754423617
Baroja_adventure_ne0245 0.9953755694594142 1.003202453642888 1.0448876905743434 1.1270295077225652 1.1159994966335773 1.0404140518820593 1.001358740083599 0.0 1.1025173989169683 0.9918300164818771 1.0489156777912672 1.2023525548558383 1.0163237874653241 1.0171731278888863 1.047230318491632 1.0760313094907752 1.0245357559684503 1.0129110380882662 1.1209556438733999 1.0842132005015699 1.1242385058161002 1.07523848361656 1.09963468245297 1.1185022717506898 1.1029426462015701 1.09346858225702 1.0901178377275502 1.0785894750493201 1.04376693996631 1.06694562743894 1.1165084754682602 1.1359386337036201 1.12644020315478 1.07047079715648 1.08761514097189 1.15692806089556 1.1071713061346202 1.13917427440202 1.0937483873209 1.11888490209344 1.10649161128499 1.02218083582033 1.10476001689779 1.10359432032252 1.09259673643056 1.04016524350672 1.02860501057548 1.07280630888702 1.0231862007683 1.06137337432016 0.9863695768751891 0.9773756742635741 1.0461288259114698 1.0486372624639302 1.01614431634608 1.02983815021576 1.1129488546455601 1.0920640656645 1.1060811282706002 1.11519507562027 1.05984667973408 1.07238884794187 1.0653780297296802
Baroja_adventure_ne0304 1.1066918586816212 1.0989913096539583 1.1532353803359041 0.9249799512000302 0.8886456751424011 1.0635679481734162 0.9660627024502513 1.1025173989169683 0.0 1.2153080573160202 1.0416412946142353 1.1997615942904853 1.1347509589659703 1.142601952264589 1.1532270258992612 1.1769453431757833 1.1931069917369492 1.1260591905471313 1.07573688637112 1.06423435331536 1.0682801304095402 1.10100666313376 1.05131741276137 0.99298593263227 1.0829101279034798 1.08487877581992 1.01156985889805 1.03081063607289 1.03373761081058 1.05617938104275 1.0927975799494498 1.09671798140716 1.12844621691196 1.1276381010473602 1.10105643237771 1.12739916000644 1.1431658653025198 1.13968061808715 1.13879888011492 1.03628677299803 1.04985064947956 1.02716916235698 1.08004214183377 1.08912134016332 1.05452211122989 1.03799851403787 0.8771663733734208 1.03566722817593 1.03985384861597 1.05062859121227 0.995077205957396 0.9838180708129179 1.0607513906141401 1.05008978552112 1.06190065397548 1.07969339953193 1.12328931716579 1.14324116278018 1.15018455464679 1.10757983988104 1.03483053191929 0.985797061355753 1.03099610750503
Baroja_historical_ne0115 1.1096076317014392 1.0049947161572224 0.9526258619880453 1.0964251081046652 1.0931734948297491 0.9081758998305732 1.097700204850498 0.9918300164818771 1.2153080573160202 0.0 0.9282696315245001 1.3819679191868564 1.1390684567254432 1.1740980861238552 1.0067717072095852 0.9413226483113704 1.1679115402813534 1.1551863353720502 1.1165517579956101 1.08892936047596 1.06447035436504 1.06991858218735 1.12870886451145 1.11178016281693 1.12581019196983 0.994465422891345 0.9988087750122009 0.9791035615356078 1.0799479568435 1.13650801107282 1.0453432799904 1.0002889727445001 1.01407565784034 1.01794215648274 1.0454439810085299 1.1253610559198202 1.0447757683738301 1.1072790182719 1.0889382398721499 1.0732241680282 0.998753239526307 0.99649504963026 1.13074905533754 1.13118447125319 1.0729899899103301 1.06932858302094 1.06886726553629 1.15999266279225 0.980671182191132 1.11149385280361 0.974168249669359 0.985205430952636 1.0268328764721801 1.10139129015802 1.07734313239563 1.0706699682534302 1.0945088909212801 1.1353731231308402 1.07184295066118 1.07551226136182 1.11150975866878 1.0563289612843199 1.1310435183988998
