year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1900,0.0415162457,0.0017460569,0.0077126698,0.0184008727,0.0571775448,0.0339111365,0.0020517997,0.0206865591,0.003820541,0.0007721927,0.0182155762,0.0627062781,0.0026864461,0.0039629335,0.0052195186,0.0042171727,0.0042669377,0.0149711893,0.0114610814,0.011922911,0.0280529156,0.0086129668,0.0449867584,0.01936986,0.0062938034,0.0086385658,0.0177493851,0.0725537867,0.0112264522,0.0035997515,0.0723508723,0.0073847684,0.0036541998,0.022379238,0.0062969204,0.0207554416,0.0419004622,0.0032845915,0.0297537823,0.0043493338,0.0080066314,0.0010844522,0.0157420473,0.0498724406,0.0164431407,0.0094785882,0.069426916,0.0407216657,0.0210714526,0.0075331458
1910,0.0470498613,0.0011566263,0.0153230222,0.0201291815,0.0793324508,0.038727793,0.005139663,0.0470427387,0.0044612899,0.0009938061,0.0519436117,0.0310023477,0.0056379202,0.009201953,0.0071859034,0.0108274413,0.0107931104,0.0204374896,0.0084915186,0.00793408,0.0318416385,0.0100434586,0.0248915242,0.0025306505,0.0242497372,0.0096325355,0.019806533,0.0180095959,0.0106080163,0.0052268219,0.0092561906,0.0575555185,0.0039695777,0.0253782015,0.009463919,0.0781501639,0.0329436886,0.003282402,0.008378499,0.004054753,0.007907923,0.0011146163,0.013139309,0.0321407974,0.0120215294,0.0154055471,0.0404685464,0.0315641304,0.025335852,0.0088165149
1920,0.033070207,0.0012832868,0.009447096,0.0317126935,0.0959882565,0.0074889557,0.0024407935,0.0890264126,0.0037246387,0.0010271462,0.0729456503,0.035345539,0.0045225106,0.0051517248,0.0046466513,0.0051030178,0.0105039514,0.0211380608,0.0100434001,0.0658473263,0.0252295888,0.0093878815,0.0305703119,0.0472218183,0.0069391227,0.0085005178,0.0105208817,0.0405545603,0.0118439751,0.0018939568,0.0101457411,0.0070793907,0.005286401,0.0221027521,0.010207964,0.0406463831,0.0289171026,0.0041679683,0.006575814,0.0064410643,0.0124385702,0.0016211318,0.0091698382,0.0271038806,0.0126150388,0.0087738414,0.0184097321,0.0237564322,0.0289033633,0.0125176567
1930,0.0231312123,0.0019950755,0.0658318718,0.0410070377,0.0540801278,0.0105941185,0.0098002411,0.0194050137,0.0061159552,0.0022017498,0.0267277208,0.0551694269,0.0097407008,0.0037051437,0.0068083831,0.0069823763,0.0082108714,0.0257043319,0.0443986451,0.0214009906,0.0309607709,0.0103887982,0.013513924,0.0032363997,0.0402758173,0.016873316,0.0046841354,0.0236888831,0.038513819,0.0581651867,0.0051316015,0.0057572967,0.0078400684,0.0178950008,0.0194318299,0.0042449235,0.0215872677,0.0049596607,0.0073841834,0.0117393859,0.050007651,0.0024551512,0.0194647868,0.0193065545,0.0147488301,0.01092107,0.0037237538,0.026013368,0.0544035406,0.0096720312
1940,0.0310884088,0.003292798,0.0265444523,0.0424153333,0.0284958375,0.0107224705,0.0403509873,0.0103032353,0.0087924479,0.00322031,0.0231989902,0.0349102409,0.0174638132,0.0034581896,0.0097109592,0.0081682814,0.0101720054,0.0236971524,0.0113287523,0.0083537647,0.0435428435,0.0078321009,0.0137501328,0.0036062384,0.011156622,0.012303962,0.0045920431,0.0294268137,0.028193014,0.100354767,0.0032221658,0.0060672863,0.0077741969,0.0145057944,0.0276433458,0.0031408537,0.0181553741,0.0055071202,0.0061078038,0.0189509097,0.1078933609,0.0037764155,0.0199004786,0.0239787742,0.010681527,0.0087111547,0.0044887896,0.0119365163,0.0612776688,0.0258334962
1950,0.0218297117,0.003491692,0.049733723,0.0366549642,0.0169789725,0.0081361501,0.0510700651,0.0124629407,0.0095599861,0.0046853959,0.0235367147,0.0404522431,0.0153644947,0.0052545046,0.0239857966,0.0303887051,0.005874453,0.0154412363,0.0042867699,0.0190881079,0.0412889235,0.0194434434,0.0118129582,0.0025617473,0.0059784475,0.0134501989,0.0051275194,0.0137192837,0.0215313848,0.0352512176,0.0037440187,0.0051367648,0.0110881077,0.0296532914,0.0393251771,0.0035601954,0.0138956943,0.005029665,0.007600202,0.0824216516,0.0640239124,0.0041051004,0.016960277,0.0092525265,0.0100621349,0.0104048574,0.0025281977,0.016498779,0.0835330697,0.0127346258
1960,0.037788169,0.0040092589,0.033585744,0.0504845189,0.0405429326,0.0086247934,0.0312808311,0.0096576324,0.0070344551,0.0044958856,0.0179462347,0.0242376425,0.0284648107,0.0841960493,0.0782130444,0.0292414547,0.0082516539,0.0167117169,0.0048377516,0.0093863944,0.0325042476,0.0054970924,0.0071475828,0.0022424375,0.0088074074,0.0158857088,0.0087236418,0.0141905,0.0202540137,0.0373204166,0.0049855133,0.0043379226,0.0184651479,0.0219776622,0.0262235162,0.0034827275,0.0097088539,0.0154103966,0.0059555485,0.0205653749,0.0371239211,0.0059890694,0.0165903358,0.0118231872,0.0100375448,0.0159200861,0.0017132603,0.0117786999,0.0640443324,0.0123028769
1970,0.0349606153,0.1111955399,0.0094049633,0.061926162,0.0122817655,0.0196882675,0.0301901583,0.0071723406,0.0109606481,0.0064932004,0.0171406879,0.0414182451,0.0277290473,0.0070598067,0.0332438571,0.0271876271,0.0053527973,0.0140556108,0.0113184543,0.0049462522,0.0242298742,0.007573587,0.0056462854,0.0037826884,0.0116938154,0.0134203624,0.0278911734,0.014780622,0.0131419944,0.0067990175,0.0090077232,0.0043207476,0.0431390253,0.0253689466,0.0169004012,0.0030426863,0.0085087209,0.0543345511,0.0057863077,0.0068017398,0.0380505098,0.0182375334,0.0166713047,0.0076853499,0.0138583533,0.0457455753,0.0041790851,0.0116179854,0.0338616904,0.0101962959
1980,0.0274574111,0.0174367764,0.0212749295,0.045597152,0.0156171183,0.0086336645,0.0199756927,0.0067121837,0.0303449681,0.0443788592,0.0127546481,0.0318402349,0.020171273,0.0066882442,0.0571345833,0.0178887743,0.0064391243,0.0257490432,0.0074603225,0.0064074294,0.0305336441,0.0105162609,0.0074432612,0.0027426464,0.0139887836,0.0903850403,0.0084704937,0.0119990359,0.02037661,0.0070057986,0.0064131112,0.0038746465,0.0667258262,0.0219017762,0.0202983601,0.0037953608,0.0174096196,0.0279980718,0.012123807,0.0213848155,0.0108214936,0.0420383849,0.0131508424,0.0104056514,0.0216431068,0.0178242554,0.0027630314,0.0111354878,0.0275509451,0.0073173989
1990,0.0237335469,0.0144841831,0.0080919283,0.0555643128,0.0117695298,0.007391444,0.0142119803,0.0053557537,0.0432725583,0.0756103677,0.0150054679,0.0295366675,0.0291735575,0.0028250534,0.0094432523,0.0164635196,0.007090823,0.0203244105,0.0121186312,0.0047158988,0.0254453091,0.0073409609,0.0069445226,0.0028495656,0.007938415,0.0511746034,0.0158231567,0.0094765297,0.0206286144,0.0067416034,0.0067615847,0.0034123745,0.074236813,0.0162396294,0.0473384315,0.0028740826,0.0095566607,0.0145312662,0.0072168401,0.0077476288,0.0108657908,0.0808454132,0.0135854591,0.0075503243,0.0251729824,0.0108281793,0.0017928094,0.039265158,0.0494989207,0.0101334836
