,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,protagonist-policier,decade
rf0309,rf0309,Aimard,male,GrandChefAucas,1858,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0314,rf0314,Aimard,male,ChercheurPistes,1858,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0302,rf0302,Aimard,male,TrappeursArkansas,1858,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0312,rf0312,Aimard,male,PiratesPrairies,1858,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0313,rf0313,Aimard,male,LoiLynch,1859,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0307,rf0307,Aimard,male,RodeursFrontieres,1861,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0306,rf0306,Aimard,male,BohèmesMer,1865,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0303,rf0303,Aimard,male,RoisOcean2VentEnPanne,1877,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0304,rf0304,Aimard,male,RoisOcean2Olonnais,1877,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0319,rf0319,AimardAuriac,male,PiedsFourchus,1866,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0318,rf0318,AimardAuriac,male,AigleNoirDacotahs,1878,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0315,rf0315,AimardAuriac,male,JimIndien,1879,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0323,rf0323,Allais,male,AffaireBlaireau,1899,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0322,rf0322,Allais,male,CaptainCap,1902,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0321,rf0321,Allais,male,Boomerang,1912,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0206,rf0206,Audoux,female,MarieClaire,1910,narrative,novel,blanche,blanche,homodiegetic,n.av.,1910s
rf0208,rf0208,Audoux,female,Atelier,1920,narrative,novel,blanche,blanche,homodiegetic,n.av.,1920s
rf0207,rf0207,Audoux,female,VilleMoulin,1926,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0211,rf0211,Audoux,female,DouceLumiere,1937,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1930s
rf0567,rf0567,Balzac,male,Pierrette,1840,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0563,rf0563,Balzac,male,MemoiresJeunesMariees,1841,narrative,novel,blanche,blanche,homodiegetic,n.av.,1840s
rf0572,rf0572,Balzac,male,CureVillage,1841,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0566,rf0566,Balzac,male,UrsuleMirouet,1841,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0565,rf0565,Balzac,male,DebutVie,1842,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0562,rf0562,Balzac,male,AlbertSavarus,1842,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0561,rf0561,Balzac,male,FausseMaitresse,1842,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0564,rf0564,Balzac,male,ModesteMignon,1844,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0568,rf0568,Balzac,male,Comediens,1845,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0569,rf0569,Balzac,male,CousineBette,1846,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0570,rf0570,Balzac,male,CousinPons,1847,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1840s
rf0727,rf0727,Barjavel,male,Ravage,1943,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0725,rf0725,Barjavel,male,VoyageurImprudent,1943,narrative,novel,blanche,sciencefiction,n.av.,n.av.,1940s
rf0728,rf0728,Barjavel,male,Tarendol,1946,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0724,rf0724,Barjavel,male,DiableLemporte,1948,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0183,rf0183,Beckett,male,Murphy,1947,narrative,novel,blanche,nouveau-roman,heterodiegetic,n.av.,1940s
rf0180,rf0180,Beckett,male,Malone,1951,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0182,rf0182,Beckett,male,Molloy,1951,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0179,rf0179,Beckett,male,Innommable,1953,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0181,rf0181,Beckett,male,MercierCamier,1970,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0224,rf0224,Bernanos,male,SoleilSatan,1926,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0222,rf0222,Bernanos,male,Imposture,1927,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0223,rf0223,Bernanos,male,Mouchette,1937,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0225,rf0225,Bernanos,male,MauvaisReve,1950,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0200,rf0200,BoilNarc,male,EtMonTout,1965,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0531,rf0531,Bon,male,SortieUsine,1982,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0527,rf0527,Bon,male,Limite,1985,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0526,rf0526,Bon,male,Enterrement,1991,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0529,rf0529,Bon,male,TempsMachine,1993,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0202,rf0202,Bon,male,Autoroute,1997,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0528,rf0528,Bon,male,Mecanique,2001,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0723,rf0723,Bosco,male,Sanglier,1932,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0730,rf0730,Bosco,male,EnfantRiviere,1945,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0688,rf0688,Bourget,male,DeuxSoeurs,1905,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0685,rf0685,Bourget,male,LaurenceAlbani,1919,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0686,rf0686,Bourget,male,DanseurMondain,1926,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0687,rf0687,Bourget,male,Laborantine,1934,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0506,rf0506,Butor,male,Modification,1957,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0556,rf0556,Camus,male,MortHeureuse,1938,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0559,rf0559,Camus,male,Etranger,1942,narrative,novel,blanche,blanche,homodiegetic,n.av.,1940s
rf0554,rf0554,Camus,male,Peste,1947,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0558,rf0558,Camus,male,Chute,1956,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0560,rf0560,Camus,male,PremierHomme,1960,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0722,rf0722,Carco,male,HommeTraque,1922,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0729,rf0729,Carco,male,Tenebres,1935,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0502,rf0502,Celine,male,VoyageNuit,1932,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0525,rf0525,Celine,male,MortCredit,1936,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0536,rf0536,Celine,male,GuignolsBand2,1944,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0501,rf0501,Celine,male,GuignolsBand1,1944,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0500,rf0500,Celine,male,ChateauLAutre,1957,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0503,rf0503,Celine,male,Nord,1960,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0002,rf0002,Colette,female,ClaudineEcole,1900,narrative,novel,blanche,blanche,homodiegetic,n.av.,1900s
rf0004,rf0004,Colette,female,ClaudineParis,1901,narrative,novel,blanche,blanche,homodiegetic,n.av.,1900s
rf0003,rf0003,Colette,female,ClaudineMenage,1902,narrative,novel,blanche,blanche,homodiegetic,n.av.,1900s
rf0324,rf0324,Colette,female,ClaudineSenVa,1903,narrative,novel,blanche,blanche,homodiegetic,n.av.,1900s
rf0012,rf0012,Colette,female,RetraiteSentimentale,1907,narrative,novel,blanche,blanche,homodiegetic,n.av.,1900s
rf0008,rf0008,Colette,female,IngenueLibertine,1909,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1900s
rf0010,rf0010,Colette,female,MaisonClaudine,1922,narrative,novel,blanche,blanche,homodiegetic,n.av.,1920s
rf0001,rf0001,Colette,female,BleHerbe,1923,narrative,novel,blanche,education,heterodiegetic,n.av.,1920s
rf0007,rf0007,Colette,female,FinDeCheri,1926,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1920s
rf0011,rf0011,Colette,female,NaissanceJour,1928,narrative,novel,blanche,autobiographical,homodiegetic,n.av.,1920s
rf0013,rf0013,Colette,female,Seconde,1929,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0006,rf0006,Colette,female,Duo,1934,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1930s
rf0014,rf0014,Colette,female,Toutounier,1939,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1930s
rf0009,rf0009,Colette,female,JulieDeCarneilhan,1941,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1940s
rf0111,rf0111,Dard,male,Coma,1959,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0719,rf0719,Darien,male,BiribiriDiscipline,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0720,rf0720,Darien,male,Voleur,1897,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0020,rf0020,Daudet,male,PetitChose,1867,narrative,novel,blanche,education,homodiegetic,n.av.,1860s
rf0023,rf0023,Daudet,male,Tartarin1,1872,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0017,rf0017,Daudet,male,Jack,1875,narrative,novel,blanche,education,heterodiegetic,n.av.,1870s
rf0018,rf0018,Daudet,male,Nabab,1877,narrative,novel,blanche,social,heterodiegetic,n.av.,1870s
rf0019,rf0019,Daudet,male,NumaRoumestan,1881,narrative,novel,blanche,social,heterodiegetic,n.av.,1880s
rf0016,rf0016,Daudet,male,Evangeliste,1882,narrative,novel,blanche,social,heterodiegetic,n.av.,1880s
rf0022,rf0022,Daudet,male,Sapho,1884,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0021,rf0021,Daudet,male,PortTarascon,1890,narrative,novel,blanche,adventure,heterodiegetic,n.av.,1890s
rf0338,rf0338,Delly,mixed,EsclaveReine,1910,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1910s
rf0326,rf0326,Delly,mixed,EntreDeuxAmes,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0344,rf0344,Dombre,female,Folla,1889,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0345,rf0345,Dombre,female,Nounou,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0343,rf0343,Dombre,female,PupilleGenante,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0220,rf0220,Duras,female,VieTranquille,1944,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0213,rf0213,Duras,female,BarragePacifique,1950,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0219,rf0219,Duras,female,MarinGibraltar,1952,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0218,rf0218,Duras,female,PetitsChevaux,1953,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0221,rf0221,Duras,female,JourneesEntieres,1954,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0214,rf0214,Duras,female,ModeratoCantabile,1958,narrative,novel,blanche,nouveau-roman,heterodiegetic,n.av.,1950s
rf0212,rf0212,Duras,female,Ravissement,1964,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0217,rf0217,Duras,female,Detruire,1969,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0215,rf0215,Duras,female,Amant,1984,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0216,rf0216,Duras,female,YeuxBleus,1986,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0126,rf0126,Echenoz,male,UnAn,1975,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
