,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,protagonist-policier,decade
rf0122,rf0122,Echenoz,male,Equipee,1986,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0124,rf0124,Echenoz,male,NousTrois,1992,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0123,rf0123,Echenoz,male,Blondes,1995,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0121,rf0121,Echenoz,male,JeMenVais,1999,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0119,rf0119,Echenoz,male,Piano,2002,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0120,rf0120,Echenoz,male,Courir,2008,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0037,rf0037,ErckChat,male,MadameTherese,1863,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0025,rf0025,ErckChat,male,AmiFritz,1864,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0030,rf0030,ErckChat,male,HistoireConscrit,1864,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0031,rf0031,ErckChat,male,HistoireHommePeuple,1865,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0038,rf0038,ErckChat,male,Waterloo,1865,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0033,rf0033,ErckChat,male,HistoirePaysan2,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0032,rf0032,ErckChat,male,HistoirePaysan1,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0034,rf0034,ErckChat,male,HistoirePaysan3,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0035,rf0035,ErckChat,male,HistoirePaysan4,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0029,rf0029,ErckChat,male,DeuxFreresRantzau,1873,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0028,rf0028,ErckChat,male,ChefChantier,1876,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0608,rf0608,FevalPP,male,FanfaronsRoi,1843,narrative,novel,blanche,historical,n.av.,n.av.,1840s
rf0615,rf0615,FevalPP,male,LoupBlanc,1843,narrative,novel,blanche,adventure,n.av.,n.av.,1840s
rf0610,rf0610,FevalPP,male,FilsDiable1,1846,narrative,novel,blanche,adventure,heterodiegetic,n.av.,1840s
rf0621,rf0621,FevalPP,male,Quittance1Heritiere,1846,narrative,novel,blanche,adventure,n.av.,n.av.,1840s
rf0622,rf0622,FevalPP,male,Quittance2Galerie,1846,narrative,novel,blanche,adventure,heterodiegetic,n.av.,1840s
rf0609,rf0609,FevalPP,male,FeeGreves,1850,narrative,novel,blanche,fantastic,n.av.,n.av.,1850s
rf0623,rf0623,FevalPP,male,ReineEpees,1852,narrative,novel,blanche,adventure,heterodiegetic,n.av.,1850s
rf0636,rf0636,FevalPP,male,Louve1,1855,narrative,novel,blanche,adventure,heterodiegetic,n.av.,1850s
rf0617,rf0617,FevalPP,male,MadameGilBlas,1856,narrative,novel,blanche,other,homodiegetic,n.av.,1850s
rf0616,rf0616,FevalPP,male,Louve2,1856,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1850s
rf0633,rf0633,FevalPP,male,Bossu,1857,narrative,novel,blanche,adventure,n.av.,n.av.,1850s
rf0624,rf0624,FevalPP,male,RoiGueux,1859,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0625,rf0625,FevalPP,male,VilleVampire,1875,narrative,novel,blanche,other,n.av.,n.av.,1870s
rf0613,rf0613,FevalPP,male,HistoireRevenants,1881,narrative,novel,blanche,fantastique,heterodiegetic,n.av.,1880s
rf0040,rf0040,Flaubert,male,MadameBovary,1857,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0042,rf0042,Flaubert,male,Sallambo,1862,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0041,rf0041,Flaubert,male,Education,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0039,rf0039,Flaubert,male,BouvardPecuchet,1881,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0348,rf0348,Fleuriot,female,Conge,1874,narrative,novel,blanche,blanche,homodiegetic,n.av.,1870s
rf0347,rf0347,Fleuriot,female,EnfantGate,1877,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0346,rf0346,Fleuriot,female,TranquilleTourbillon,1880,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0350,rf0350,Fleuriot,female,Alberte,1881,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0349,rf0349,Fleuriot,female,BoucheEnCoeur,1882,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0648,rf0648,France,male,CrimeSylvestreBonnard,1881,narrative,novel,blanche,other,homodiegetic,n.av.,1880s
rf0647,rf0647,France,male,Thais,1890,narrative,novel,blanche,historical,heterodiegetic,n.av.,1890s
rf0646,rf0646,France,male,MannequinOsier,1897,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1890s
rf0383,rf0383,Galopin,male,Aviateur2,1926,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0363,rf0363,Galopin,male,Aviateur1,1926,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0362,rf0362,Galopin,male,Bacille,1928,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0714,rf0714,Gary,male,Tulipe,1946,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0704,rf0704,Gary,male,LadyL,1963,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0711,rf0711,Gary,male,MangeursEtoiles,1966,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0706,rf0706,Gary,male,TeteCoupable,1968,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0715,rf0715,Gary,male,AdieuGaryCooper,1969,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0710,rf0710,Gary,male,ChienBlanc,1970,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0709,rf0709,Gary,male,Enchanteurs,1973,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0702,rf0702,Gary,male,ClairFemme,1977,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0712,rf0712,Gary,male,ChargeAme,1977,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0707,rf0707,Gary,male,CerfsVolants,1980,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0703,rf0703,GaryAjar,male,GrosCalin,1974,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0708,rf0708,GaryAjar,male,VieDevantSoi,1975,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0713,rf0713,GaryAjar,male,Pseudo,1976,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0701,rf0701,GaryAjar,male,AngoisseRoiSalomon,1979,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0716,rf0716,GaryBogat,male,TetesStephanie,1974,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0705,rf0705,GarySinibaldi,male,HommeColombe,1958,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0364,rf0364,Gautier,male,RomanMomie,1858,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0365,rf0365,Gautier,male,CapitaineFracasse,1863,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0489,rf0489,Giono,male,GrandTroupeau,1931,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0504,rf0504,Giono,male,SolitudePitie,1932,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0490,rf0490,Giono,male,ChantMonde,1934,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0488,rf0488,Giono,male,RoiSansDivertissement,1947,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0487,rf0487,Giono,male,HussardToit,1951,narrative,novel,blanche,adventure,heterodiegetic,criminal,1950s
rf0493,rf0493,Giono,male,GrandsChemins,1951,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0537,rf0537,Giono,male,Angelo,1958,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0505,rf0505,Giono,male,DeuxCavaliersOrage,1965,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0380,rf0380,Gouraud,male,MemoiresCaniche,1866,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0379,rf0379,Gouraud,male,PetitColporteur,1867,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0376,rf0376,Gouraud,male,EnfantsFerme,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0372,rf0372,Gouraud,male,LivreMaman,1872,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0375,rf0375,Gouraud,male,PetiteGrande,1873,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0370,rf0370,Gouraud,male,FillesProfesseur,1876,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0377,rf0377,Gouraud,male,CousineMarie,1878,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0368,rf0368,Gouraud,male,AllerRetour,1880,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0367,rf0367,Gouraud,male,ChezGrandMere,1882,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0369,rf0369,Gouraud,male,QuandGrande,1888,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0642,rf0642,Hugo,male,Miserables2Cosette,1862,narrative,novel,blanche,social,heterodiegetic,n.av.,1860s
rf0641,rf0641,Hugo,male,Miserables1Fantine,1862,narrative,novel,blanche,social,heterodiegetic,n.av.,1860s
rf0643,rf0643,Hugo,male,Miserables3Marius,1862,narrative,novel,blanche,social,heterodiegetic,n.av.,1860s
rf0645,rf0645,Hugo,male,Miserables5JeanValjean,1862,narrative,novel,blanche,social,heterodiegetic,n.av.,1860s
rf0644,rf0644,Hugo,male,Miserables4Idylle,1862,narrative,novel,blanche,social,heterodiegetic,n.av.,1860s
rf0382,rf0382,Huysmans,male,SoeursVatard,1879,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0640,rf0640,Huysmans,male,ARebours,1884,narrative,novel,blanche,other,heterodiegetic,n.av.,1880s
rf0639,rf0639,Huysmans,male,Oblat,1903,narrative,novel,blanche,other,heterodiegetic,n.av.,1900s
rf1274,rf1274,Khadra,male,Hirondelles,2002,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0514,rf0514,Khadra,male,CousineK,2003,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0510,rf0510,Khadra,male,Attentat,2005,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0509,rf0509,Khadra,male,SirenesBagdad,2006,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf1275,rf1275,Khadra,male,JourNuit,2008,narrative,novel,blanche,education,homodiegetic,n.av.,2000s
rf1041,rf1041,Leblanc,male,Frontiere,1911,narrative,novel,blanche,historical,heterodiegetic,n.av.,1910s
rf1142,rf1142,Leblanc,male,TroisYeux,1919,narrative,novel,blanche,sciencefiction,homodiegetic,n.av.,1910s
rf1143,rf1143,Leblanc,male,FormidableEvenement,1921,narrative,novel,blanche,sciencefiction,heterodiegetic,n.av.,1920s
rf0696,rf0696,LeClezio,male,ProcesVerbal,1963,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0699,rf0699,LeClezio,male,Desert,1980,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0700,rf0700,LeClezio,male,ChercheurOr,1985,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0698,rf0698,LeClezio,male,EtoileErrante,1992,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0397,rf0397,LeRouge,male,Conspiration3,1900,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0399,rf0399,LeRouge,male,Conspiration1,1900,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0398,rf0398,LeRouge,male,Conspiration2,1900,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0385,rf0385,LeRouge,male,Sousmarin,1902,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0392,rf0392,LeRouge,male,EsclaveAmoureuse,1904,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0390,rf0390,LeRouge,male,EspionneLama,1905,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0386,rf0386,LeRouge,male,ReineElephants,1906,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0387,rf0387,LeRouge,male,PrisonnierMars,1908,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0384,rf0384,LeRouge,male,GuerreVampires,1909,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0394,rf0394,LeRouge,male,MysterieuxDrCornelius3,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0395,rf0395,LeRouge,male,MysterieuxDrCornelius2,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0396,rf0396,LeRouge,male,MysterieuxDrCornelius1,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0381,rf0381,LeRouge,male,ValleeDesespoir,1928,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0486,rf0486,LeRougeGuitton,male,Conspiration4,1900,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0401,rf0401,LeRougeGuitton,male,PrincesseAirs1,1902,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0400,rf0400,LeRougeGuitton,male,PrincesseAirs2,1902,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf1047,rf1047,Leroux,male,BatailleInvisible,1917,narrative,novel,blanche,sciencefiction,homodiegetic,n.av.,1910s
rf1048,rf1048,Leroux,male,CapitaineHyx,1917,narrative,novel,blanche,sciencefiction,homodiegetic,n.av.,1910s
rf1055,rf1055,Leroux,male,PoupeeSanglante,1923,narrative,novel,blanche,fantastique,heterodiegetic,n.av.,1920s
rf1053,rf1053,Leroux,male,MachineAssassiner,1923,narrative,novel,blanche,fantastique,heterodiegetic,n.av.,1920s
rf0043,rf0043,Loti,male,Aziyade,1879,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0051,rf0051,Loti,male,RomanSpahi,1881,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0403,rf0403,Loti,male,FrereYves,1883,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0402,rf0402,Loti,male,PecheurIslande,1886,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0050,rf0050,Loti,male,RomanEnfant,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0404,rf0404,Loti,male,RomanEnfant,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0405,rf0405,Loti,male,Matelot,1893,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0049,rf0049,Loti,male,Ramuntcho,1897,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
